cohort	sex	region	highest edu	receiving e	time	TABCELL	age
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H35 Qualifying educational programmes	2015	0	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H35 Qualifying educational programmes	2016	0	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H35 Qualifying educational programmes	2017	0	29
1976	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2006	1	29
1977	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2007	0	29
1978	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2008	0	29
1979	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2009	1	29
1980	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2010	0	29
1981	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2011	0	29
1982	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2012	0	29
1983	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2013	1	29
1984	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2014	2	29
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2015	2	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2016	1	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H40 Short cycle higher education	2017	0	29
1976	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2006	7	29
1977	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2007	10	29
1978	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2008	3	29
1979	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2009	4	29
1980	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2010	7	29
1981	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2011	3	29
1982	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2012	2	29
1983	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2013	2	29
1984	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2014	4	29
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2015	3	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2016	7	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H50 Vocational bachelors educations	2017	6	29
1976	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2006	0	29
1977	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2007	0	29
1978	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2008	1	29
1979	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2009	0	29
1980	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2010	0	29
1981	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2011	1	29
1982	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2012	1	29
1983	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2013	1	29
1984	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2014	2	29
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2015	3	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2016	5	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H60 Bachelors programmes	2017	1	29
1976	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2006	0	29
1977	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2007	0	29
1978	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2008	2	29
1979	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2009	0	29
1980	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2010	0	29
1981	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2011	0	29
1982	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2012	0	29
1983	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2013	0	29
1984	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2014	0	29
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2015	0	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2016	0	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H70 Masters programmes	2017	0	29
1976	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2006	0	29
1977	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2007	0	29
1978	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2008	0	29
1979	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2009	0	29
1980	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2010	0	29
1981	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2011	0	29
1982	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2012	0	29
1983	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2013	0	29
1984	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2014	0	29
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2015	0	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2016	0	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H80 PhD programmes	2017	0	29
1976	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2006	4	29
1977	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2007	3	29
1978	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2008	7	29
1979	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2009	3	29
1980	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2010	6	29
1981	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2011	5	29
1982	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2012	2	29
1983	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2013	3	29
1984	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2014	7	29
1985	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2015	4	29
1986	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2016	3	29
1987	Men	Region Syddanmark	H35 Qualifying educational programmes	H90 Not stated	2017	6	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2006	0	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2007	0	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2008	0	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2010	0	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2011	0	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2012	0	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2013	0	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2014	0	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2016	0	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H10 Primary education	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2006	0	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2007	0	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2008	0	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2010	0	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2011	0	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2012	0	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2013	0	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2014	0	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2016	0	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H15 Preparatory courses	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2006	0	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2007	0	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2008	0	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2010	0	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2011	0	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2012	0	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2013	1	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2014	0	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2016	1	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H20 Upper secondary education	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2006	1	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2007	0	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2008	0	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2010	1	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2011	0	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2012	1	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2013	0	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2014	1	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2016	0	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H29 Vocational Education and Training (VET), basic course	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2006	4	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2007	7	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2008	6	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2009	9	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2010	9	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2011	6	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2012	4	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2013	6	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2014	3	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2015	1	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2016	8	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H30 Vocational Education and Training (VET)	2017	7	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2006	0	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2007	0	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2008	1	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2009	1	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2010	0	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2011	1	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2012	0	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2013	0	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2014	0	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2016	0	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H35 Qualifying educational programmes	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2006	4	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2007	2	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2008	1	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2010	3	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2011	3	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2012	3	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2013	6	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2014	1	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2015	3	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2016	1	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H40 Short cycle higher education	2017	2	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2006	9	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2007	11	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2008	5	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2009	6	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2010	7	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2011	15	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2012	16	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2013	32	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2014	26	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2015	20	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2016	31	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H50 Vocational bachelors educations	2017	17	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2006	5	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2007	9	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2008	17	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2009	3	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2010	5	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2011	3	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2012	4	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2013	7	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2014	6	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2015	11	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2016	4	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H60 Bachelors programmes	2017	8	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2006	0	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2007	3	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2008	1	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2010	0	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2011	2	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2012	2	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2013	0	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2014	2	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2016	2	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H70 Masters programmes	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2006	0	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2007	0	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2008	0	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2009	0	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2010	0	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2011	0	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2012	0	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2013	0	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2014	0	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2015	0	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2016	0	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H80 PhD programmes	2017	0	29
1976	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2006	401	29
1977	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2007	397	29
1978	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2008	386	29
1979	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2009	391	29
1980	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2010	329	29
1981	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2011	322	29
1982	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2012	237	29
1983	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2013	296	29
1984	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2014	296	29
1985	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2015	307	29
1986	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2016	305	29
1987	Men	Region Syddanmark	H40 Short cycle higher education	H90 Not stated	2017	325	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2006	0	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2007	0	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2008	0	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2009	0	29
1980	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2010	0	29
1981	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2011	0	29
1982	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2012	0	29
1983	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2013	0	29
1984	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2014	0	29
1985	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2015	0	29
1986	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2016	0	29
1987	Men	Region Syddanmark	H50 Vocational bachelors educations	H10 Primary education	2017	0	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2006	0	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2007	0	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2008	0	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2009	0	29
1980	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2010	0	29
1981	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2011	0	29
1982	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2012	0	29
1983	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2013	0	29
1984	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2014	0	29
1985	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2015	0	29
1986	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2016	1	29
1987	Men	Region Syddanmark	H50 Vocational bachelors educations	H15 Preparatory courses	2017	0	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2006	0	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2007	0	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2008	0	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2009	0	29
1980	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2010	0	29
1981	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2011	0	29
1982	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2012	0	29
1983	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2013	0	29
1984	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2014	0	29
1985	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2015	0	29
1986	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2016	0	29
1987	Men	Region Syddanmark	H50 Vocational bachelors educations	H20 Upper secondary education	2017	0	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2006	0	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2007	0	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2008	0	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2009	0	29
1980	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2010	1	29
1981	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2011	0	29
1982	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2012	0	29
1983	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2013	1	29
1984	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2014	3	29
1985	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2015	1	29
1986	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2016	0	29
1987	Men	Region Syddanmark	H50 Vocational bachelors educations	H29 Vocational Education and Training (VET), basic course	2017	0	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2006	2	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2007	2	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2008	4	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2009	5	29
1980	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2010	1	29
1981	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2011	0	29
1982	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2012	3	29
1983	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2013	3	29
1984	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2014	2	29
1985	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2015	2	29
1986	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2016	4	29
1987	Men	Region Syddanmark	H50 Vocational bachelors educations	H30 Vocational Education and Training (VET)	2017	3	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2006	1	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2007	0	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2008	0	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2009	0	29
1980	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2010	0	29
1981	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2011	0	29
1982	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2012	0	29
1983	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2013	0	29
1984	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2014	0	29
1985	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2015	0	29
1986	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2016	0	29
1987	Men	Region Syddanmark	H50 Vocational bachelors educations	H35 Qualifying educational programmes	2017	0	29
1976	Men	Region Syddanmark	H50 Vocational bachelors educations	H40 Short cycle higher education	2006	4	29
1977	Men	Region Syddanmark	H50 Vocational bachelors educations	H40 Short cycle higher education	2007	4	29
1978	Men	Region Syddanmark	H50 Vocational bachelors educations	H40 Short cycle higher education	2008	2	29
1979	Men	Region Syddanmark	H50 Vocational bachelors educations	H40 Short cycle higher education	2009	5	29
