cohort	sex	region	highest edu	receiving e	time	TABCELL	age
1982	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2012	0	29
1981	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2011	0	29
1980	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2010	0	29
1979	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2009	0	29
1978	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2008	0	29
1977	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2007	0	29
1976	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2006	0	29
1987	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2017	1	29
1986	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2016	0	29
1985	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2015	0	29
1984	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2014	0	29
1983	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2013	0	29
1982	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2012	0	29
1981	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2011	0	29
1980	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2010	1	29
1979	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2009	0	29
1978	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2008	0	29
1977	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2007	0	29
1976	Men	All Denmark	H20 Upper secondary education	H20 Upper secondary education	2006	0	29
1987	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2017	1	29
1986	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2016	5	29
1985	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2015	39	29
1984	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2014	25	29
1983	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2013	22	29
1982	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2012	23	29
1981	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2011	26	29
1980	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2010	19	29
1979	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2009	13	29
1978	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2008	17	29
1977	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2007	11	29
1976	Men	All Denmark	H20 Upper secondary education	H29 Vocational Education and Training (VET), basic course	2006	16	29
1987	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2017	216	29
1986	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2016	185	29
1985	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2015	156	29
1984	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2014	131	29
1983	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2013	119	29
1982	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2012	128	29
1981	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2011	151	29
1980	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2010	181	29
1979	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2009	187	29
1978	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2008	205	29
1977	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2007	179	29
1976	Men	All Denmark	H20 Upper secondary education	H30 Vocational Education and Training (VET)	2006	130	29
1987	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2017	1	29
1986	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2016	0	29
1985	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2015	1	29
1984	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2014	0	29
1983	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2013	1	29
1982	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2012	1	29
1981	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2011	3	29
1980	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2010	3	29
1979	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2009	2	29
1978	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2008	2	29
1977	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2007	2	29
1976	Men	All Denmark	H20 Upper secondary education	H35 Qualifying educational programmes	2006	5	29
1987	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2017	163	29
1986	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2016	142	29
1985	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2015	128	29
1984	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2014	120	29
1983	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2013	129	29
1982	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2012	105	29
1981	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2011	120	29
1980	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2010	100	29
1979	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2009	102	29
1978	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2008	82	29
1977	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2007	95	29
1976	Men	All Denmark	H20 Upper secondary education	H40 Short cycle higher education	2006	104	29
1987	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2017	479	29
1986	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2016	488	29
1985	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2015	448	29
1984	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2014	377	29
1983	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2013	359	29
1982	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2012	355	29
1981	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2011	344	29
1980	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2010	378	29
1979	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2009	406	29
1978	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2008	423	29
1977	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2007	411	29
1976	Men	All Denmark	H20 Upper secondary education	H50 Vocational bachelors educations	2006	427	29
1987	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2017	333	29
1986	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2016	326	29
1985	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2015	367	29
1984	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2014	311	29
1983	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2013	280	29
1982	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2012	293	29
1981	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2011	281	29
1980	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2010	309	29
1979	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2009	324	29
1978	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2008	353	29
1977	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2007	387	29
1976	Men	All Denmark	H20 Upper secondary education	H60 Bachelors programmes	2006	329	29
1987	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2017	20	29
1986	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2016	17	29
1985	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2015	24	29
1984	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2014	22	29
1983	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2013	33	29
1982	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2012	44	29
1981	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2011	74	29
1980	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2010	97	29
1979	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2009	107	29
1978	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2008	116	29
1977	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2007	173	29
1976	Men	All Denmark	H20 Upper secondary education	H70 Masters programmes	2006	229	29
1987	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2017	0	29
1986	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2016	1	29
1985	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2015	0	29
1984	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2014	1	29
1983	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2013	1	29
1982	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2012	1	29
1981	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2011	2	29
1980	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2010	2	29
1979	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2009	2	29
1978	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2008	3	29
1977	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2007	5	29
1976	Men	All Denmark	H20 Upper secondary education	H80 PhD programmes	2006	2	29
1987	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2017	1983	29
1986	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2016	1820	29
1985	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2015	1775	29
1984	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2014	1702	29
1983	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2013	1652	29
1982	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2012	1675	29
1981	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2011	1716	29
1980	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2010	1946	29
1979	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2009	1947	29
1978	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2008	2053	29
1977	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2007	2001	29
1976	Men	All Denmark	H20 Upper secondary education	H90 Not stated	2006	2252	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2017	1	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2016	0	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2015	0	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2014	0	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2013	0	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2012	0	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2011	0	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2010	0	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2009	0	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2008	0	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2007	0	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H10 Primary education	2006	0	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2017	0	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2016	1	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2015	0	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2014	0	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2013	0	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2012	0	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2011	0	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2010	0	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2009	0	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2008	0	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2007	0	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2006	0	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2017	22	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2016	18	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2015	21	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2014	20	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2013	17	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2012	13	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2011	4	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2010	5	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2009	10	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2008	9	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2007	6	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2006	5	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2017	0	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2016	9	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2015	59	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2014	39	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2013	40	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2012	36	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2011	29	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2010	20	29
